instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|37748,37748.0,NIFTY24DEC23000PE,,403.2,2024-12-26,23000.0,0.05,25.0,OPTIDX,PE,NSE_FO
NSE_FO|37749,37749.0,NIFTY25JUN23000CE,,2720.0,2025-06-26,23000.0,0.05,25.0,OPTIDX,CE,NSE_FO
NSE_FO|37750,37750.0,BANKNIFTY24AUG41000CE,,8271.25,2024-08-28,41000.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|37751,37751.0,BANKNIFTY24AUG41000PE,,31.45,2024-08-28,41000.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|37757,37757.0,NIFTY24JUN20000CE,,3568.8,2024-06-27,20000.0,0.05,25.0,OPTIDX,CE,NSE_FO
NSE_FO|37758,37758.0,NIFTY24JUN20000PE,,2.2,2024-06-27,20000.0,0.05,25.0,OPTIDX,PE,NSE_FO
NSE_FO|37765,37765.0,BANKNIFTY24AUG41500CE,,7793.75,2024-08-28,41500.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|37773,37773.0,BANKNIFTY24AUG41500PE,,44.95,2024-08-28,41500.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|37794,37794.0,NIFTY25JUN23000PE,,684.95,2025-06-26,23000.0,0.05,25.0,OPTIDX,PE,NSE_FO
NSE_FO|37795,37795.0,NIFTY25DEC23000CE,,3275.0,2025-12-24,23000.0,0.05,25.0,OPTIDX,CE,NSE_FO
NSE_FO|37796,37796.0,NIFTY25DEC23000PE,,675.55,2025-12-24,23000.0,0.05,25.0,OPTIDX,PE,NSE_FO
NSE_FO|37797,37797.0,NIFTY25DEC13000PE,,400.0,2025-12-24,13000.0,0.05,25.0,OPTIDX,PE,NSE_FO
NSE_FO|37799,37799.0,NIFTY26JUN23000CE,,2645.65,2026-06-25,23000.0,0.05,25.0,OPTIDX,CE,NSE_FO
NSE_FO|37802,37802.0,NIFTY26JUN13000PE,,21.6,2026-06-25,13000.0,0.05,25.0,OPTIDX,PE,NSE_FO
NSE_FO|37805,37805.0,NIFTY26JUN23000PE,,600.05,2026-06-25,23000.0,0.05,25.0,OPTIDX,PE,NSE_FO
NSE_FO|37806,37806.0,NIFTY26DEC23000CE,,2020.0,2026-12-31,23000.0,0.05,25.0,OPTIDX,CE,NSE_FO
NSE_FO|37810,37810.0,NIFTY26DEC23000PE,,900.0,2026-12-31,23000.0,0.05,25.0,OPTIDX,PE,NSE_FO
NSE_FO|37978,37978.0,FINNIFTY24JUN23350PE,,1312.6,2024-06-25,23350.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|37979,37979.0,FINNIFTY24JUN23450CE,,59.55,2024-06-25,23450.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|37982,37982.0,FINNIFTY24JUN23450PE,,1400.6,2024-06-25,23450.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|37983,37983.0,FINNIFTY24JUN23550CE,,5.75,2024-06-25,23550.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|38045,38045.0,MIDCPNIFTY24JUN12225CE,,41.45,2024-06-24,12225.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|38051,38051.0,MIDCPNIFTY24JUN12225PE,,152.25,2024-06-24,12225.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|38052,38052.0,MIDCPNIFTY24JUN12250CE,,34.0,2024-06-24,12250.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|38056,38056.0,MIDCPNIFTY24JUN12250PE,,169.95,2024-06-24,12250.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|38057,38057.0,MIDCPNIFTY24JUN12275CE,,27.7,2024-06-24,12275.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|38065,38065.0,MIDCPNIFTY24JUN12275PE,,188.05,2024-06-24,12275.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|38075,38075.0,MIDCPNIFTY24JUN12525CE,,3.45,2024-06-24,12525.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|38077,38077.0,MIDCPNIFTY24JUN12525PE,,1369.9,2024-06-24,12525.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|38088,38088.0,FINNIFTY24JUN23550PE,,1490.15,2024-06-25,23550.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|38089,38089.0,FINNIFTY24JUN23650CE,,5.05,2024-06-25,23650.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|38093,38093.0,MIDCPNIFTY24JUN12550CE,,2.85,2024-06-24,12550.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|38095,38095.0,MIDCPNIFTY24JUN12550PE,,478.1,2024-06-24,12550.0,0.05,75.0,OPTIDX,PE,NSE_FO
